
                     X                   displacement                force         

                   7.19999981E+03           0.                      -0.            
                   7.20859003E+03          21.4799995E-06          308.768097      
                   7.21718025E+03          42.9599991E-06          617.536194      
                   7.22577E+03             64.4399796E-06          926.304199      
                   7.23435974E+03          85.9199982E-06            1.23507214E+03
                   7.24294996E+03         107.400032E-06             1.5438385E+03 
                   7.25154018E+03         128.879959E-06             1.85260522E+03
                   7.26012993E+03         150.359985E-06             2.16137028E+03
                   7.26872015E+03         171.839996E-06             2.47013354E+03
                   7.27730989E+03         193.320038E-06             2.77889633E+03
                   7.28590012E+03         214.800064E-06             3.08765674E+03
                   7.29449034E+03         236.279953E-06             3.39641523E+03
                   7.30308008E+03         257.759918E-06             3.70517182E+03
                   7.31166983E+03         279.239929E-06             4.01392603E+03
                   7.32025957E+03         300.719971E-06             4.32267809E+03
                   7.32885027E+03         322.199982E-06             4.63142347E+03
                   7.33744001E+03         343.679993E-06             4.94014072E+03
                   7.34602976E+03         365.160034E-06             5.24881887E+03
                   7.35461998E+03         386.640076E-06             5.55745459E+03
                   7.36320972E+03         408.120087E-06             5.86604261E+03
                   7.37179995E+03         429.600128E-06             6.17457199E+03
                   7.38039017E+03         451.079865E-06             6.48304081E+03
                   7.38897991E+03         472.559906E-06             6.79143858E+03
                   7.39756966E+03         494.039856E-06             7.09976292E+03
                   7.40616035E+03         515.519836E-06             7.40799999E+03
                   7.4147501E+03          536.999878E-06             7.71614647E+03
                   7.42333984E+03         558.479858E-06             8.02418613E+03
                   7.43193007E+03         579.959839E-06             8.33210754E+03
                   7.44051981E+03         601.439941E-06             8.63988209E+03
                   7.44911003E+03         622.919861E-06             8.94748783E+03
                   7.45770025E+03         644.399963E-06             9.254879E+03  
                   7.46629E+03            665.879944E-06             9.56198502E+03
                   7.47487974E+03         687.359985E-06             9.86865616E+03
                   7.48347044E+03         708.840027E-06            10.1745281E+03 
                   7.49206018E+03         730.320068E-06            10.4791164E+03 
                   7.50064993E+03         751.80011E-06             10.7816877E+03 
                   7.50924015E+03         773.280151E-06            11.080864E+03  
                   7.5178299E+03          794.760254E-06            11.3731785E+03 
                   7.52642012E+03         816.240173E-06            11.6332941E+03 
                   7.53500986E+03         837.720215E-06            11.8425684E+03 
                   7.54360008E+03         859.200256E-06            12.030283E+03  
                   7.55218983E+03         880.679749E-06            12.2024336E+03 
                   7.56077957E+03         902.159729E-06            12.3633308E+03 
                   7.56937027E+03         923.639771E-06            12.5140829E+03 
                   7.57796001E+03         945.119812E-06            12.6554451E+03 
                   7.58654976E+03         966.599792E-06            12.7870216E+03 
                   7.59513998E+03         988.079712E-06            12.906064E+03  
                   7.6037302E+03            1.00955975E-03          13.0005665E+03 
                   7.61231995E+03           1.03103971E-03          13.0244303E+03 
                   7.62091017E+03           1.0525198E-03           13.0407667E+03 
                   7.62949991E+03           1.07399976E-03          13.0567656E+03 
                   7.63808966E+03           1.09547985E-03          13.0725031E+03 
                   7.64668036E+03           1.11695969E-03          13.08811E+03   
                   7.6552701E+03            1.13843977E-03          13.1035872E+03 
                   7.66385984E+03           1.15991974E-03          13.1188498E+03 
                   7.67245007E+03           1.18139982E-03          13.1340094E+03 
                   7.68103981E+03           1.20287991E-03          13.1490269E+03 
                   7.68963003E+03           1.22435975E-03          13.163908E+03  
                   7.69822025E+03           1.24583972E-03          13.1787195E+03 
                   7.70681E+03              1.26731992E-03          13.1934948E+03 
                   7.71539974E+03           1.28879988E-03          13.2082481E+03 
                   7.72399044E+03           1.31027997E-03          13.2229548E+03 
                   7.73258018E+03           1.33175993E-03          13.2376003E+03 
                   7.74116993E+03           1.35324001E-03          13.252162E+03  
                   7.74975967E+03           1.37471998E-03          13.2666006E+03 
                   7.7583499E+03            1.39620006E-03          13.280858E+03  
                   7.76694012E+03           1.41768003E-03          13.2950363E+03 
                   7.77553034E+03           1.43916023E-03          13.3091888E+03 
                   7.78412008E+03           1.46064019E-03          13.323307E+03  
                   7.79270983E+03           1.48212028E-03          13.3373919E+03 
                   7.80129957E+03           1.50360024E-03          13.3514414E+03 
                   7.80989027E+03           1.52508032E-03          13.3654594E+03 
                   7.81848001E+03           1.54656029E-03          13.3794565E+03 
                   7.82706976E+03           1.56804049E-03          13.3934259E+03 
                   7.83565998E+03           1.58952045E-03          13.4073753E+03 
                   7.8442502E+03            1.61100054E-03          13.421298E+03  
                   7.85283995E+03           1.63248038E-03          13.435195E+03  
                   7.86143017E+03           1.65396047E-03          13.449048E+03  
                   7.87001991E+03           1.67544043E-03          13.4628687E+03 
                   7.87860966E+03           1.69692051E-03          13.4766598E+03 
                   7.88720036E+03           1.71840048E-03          13.4904194E+03 
                   7.8957901E+03            1.73987937E-03          13.5041361E+03 
                   7.90437984E+03           1.76135945E-03          13.5178061E+03 
                   7.91296959E+03           1.78283942E-03          13.5314312E+03 
                   7.92156029E+03           1.8043195E-03           13.5450106E+03 
                   7.93015003E+03           1.82579947E-03          13.5585356E+03 
                   7.93874025E+03           1.84727955E-03          13.5720177E+03 
                   7.94733E+03              1.86875951E-03          13.5854521E+03 
                   7.95591974E+03           1.8902396E-03           13.5988512E+03 
                   7.96450996E+03           1.91171956E-03          13.6122093E+03 
                   7.97310019E+03           1.93319964E-03          13.6255312E+03 
                   7.98168993E+03           1.95467937E-03          13.6388149E+03 
                   7.99028015E+03           1.97615945E-03          13.6520576E+03 
                   7.9988699E+03            1.99763942E-03          13.6652651E+03 
                   8.00745964E+03           2.0191195E-03           13.6784277E+03 
                   8.01604939E+03           2.04059958E-03          13.6915598E+03 
                   8.02464008E+03           2.06207943E-03          13.7046432E+03 
                   8.03322983E+03           2.08355951E-03          13.7176847E+03 
                   8.04181957E+03           2.1050396E-03           13.7306795E+03 
                   8.05041027E+03           2.12651968E-03          13.7436342E+03 
                   8.05900002E+03           2.14799953E-03          13.7565413E+03 




