
                     X                   displacement                force         

                   7.19999981E+03           0.                      -0.            
                   7.20859003E+03          21.4799995E-06          298.522949      
                   7.21718025E+03          42.9599991E-06          597.045898      
                   7.22577E+03             64.4399796E-06          895.567261      
                   7.23435974E+03          85.9199982E-06            1.19408357E+03
                   7.24294996E+03         107.400032E-06             1.49259114E+03
                   7.25154018E+03         128.879959E-06             1.79108763E+03
                   7.26012993E+03         150.359985E-06             2.08956933E+03
                   7.26872015E+03         171.839996E-06             2.38803339E+03
                   7.27730989E+03         193.320038E-06             2.68647695E+03
                   7.28590012E+03         214.800064E-06             2.98489547E+03
                   7.29449034E+03         236.279953E-06             3.283288E+03  
                   7.30308008E+03         257.759918E-06             3.58164907E+03
                   7.31166983E+03         279.239929E-06             3.87997675E+03
                   7.32025957E+03         300.719971E-06             4.17826843E+03
                   7.32885027E+03         322.199982E-06             4.47651768E+03
                   7.33744001E+03         343.679993E-06             4.77469921E+03
                   7.34602976E+03         365.160034E-06             5.07279873E+03
                   7.35461998E+03         386.640076E-06             5.37081242E+03
                   7.36320972E+03         408.120087E-06             5.66872787E+03
                   7.37179995E+03         429.600128E-06             5.96653652E+03
                   7.38039017E+03         451.079865E-06             6.26423168E+03
                   7.38897991E+03         472.559906E-06             6.56179714E+03
                   7.39756966E+03         494.039856E-06             6.85923243E+03
                   7.40616035E+03         515.519836E-06             7.15651608E+03
                   7.4147501E+03          536.999878E-06             7.45364475E+03
                   7.42333984E+03         558.479858E-06             7.75060129E+03
                   7.43193007E+03         579.959839E-06             8.04736328E+03
                   7.44051981E+03         601.439941E-06             8.34391403E+03
                   7.44911003E+03         622.919861E-06             8.64021397E+03
                   7.45770025E+03         644.399963E-06             8.93622112E+03
                   7.46629E+03            665.879944E-06             9.23186302E+03
                   7.47487974E+03         687.359985E-06             9.52698231E+03
                   7.48347044E+03         708.840027E-06             9.8212328E+03 
                   7.49206018E+03         730.320068E-06            10.1141291E+03 
                   7.50064993E+03         751.80011E-06             10.404953E+03  
                   7.50924015E+03         773.280151E-06            10.6923275E+03 
                   7.5178299E+03          794.760254E-06            10.9728117E+03 
                   7.52642012E+03         816.240173E-06            11.2206373E+03 
                   7.53500986E+03         837.720215E-06            11.4197712E+03 
                   7.54360008E+03         859.200256E-06            11.5971165E+03 
                   7.55218983E+03         880.679749E-06            11.757761E+03  
                   7.56077957E+03         902.159729E-06            11.9063091E+03 
                   7.56937027E+03         923.639771E-06            12.0438967E+03 
                   7.57796001E+03         945.119812E-06            12.1710596E+03 
                   7.58654976E+03         966.599792E-06            12.2874937E+03 
                   7.59513998E+03         988.079712E-06            12.3912592E+03 
                   7.6037302E+03            1.00955975E-03          12.4818325E+03 
                   7.61231995E+03           1.03103971E-03          12.541873E+03  
                   7.62091017E+03           1.0525198E-03           12.5552473E+03 
                   7.62949991E+03           1.07399976E-03          12.5682392E+03 
                   7.63808966E+03           1.09547985E-03          12.5815754E+03 
                   7.64668036E+03           1.11695969E-03          12.5947094E+03 
                   7.6552701E+03            1.13843977E-03          12.6078835E+03 
                   7.66385984E+03           1.15991974E-03          12.6209478E+03 
                   7.67245007E+03           1.18139982E-03          12.6338673E+03 
                   7.68103981E+03           1.20287991E-03          12.6466398E+03 
                   7.68963003E+03           1.22435975E-03          12.6593027E+03 
                   7.69822025E+03           1.24583972E-03          12.6717958E+03 
                   7.70681E+03              1.26731992E-03          12.6841726E+03 
                   7.71539974E+03           1.28879988E-03          12.6964273E+03 
                   7.72399044E+03           1.31027997E-03          12.7085829E+03 
                   7.73258018E+03           1.33175993E-03          12.7206516E+03 
                   7.74116993E+03           1.35324001E-03          12.7326097E+03 
                   7.74975967E+03           1.37471998E-03          12.7444124E+03 
                   7.7583499E+03            1.39620006E-03          12.7560225E+03 
                   7.76694012E+03           1.41768003E-03          12.767457E+03  
                   7.77553034E+03           1.43916023E-03          12.778656E+03  
                   7.78412008E+03           1.46064019E-03          12.7895765E+03 
                   7.79270983E+03           1.48212028E-03          12.8002205E+03 
                   7.80129957E+03           1.50360024E-03          12.8106604E+03 
                   7.80989027E+03           1.52508032E-03          12.8208694E+03 
                   7.81848001E+03           1.54656029E-03          12.8308115E+03 
                   7.82706976E+03           1.56804049E-03          12.840457E+03  
                   7.83565998E+03           1.58952045E-03          12.8497601E+03 
                   7.8442502E+03            1.61100054E-03          12.8586502E+03 
                   7.85283995E+03           1.63248038E-03          12.8670139E+03 
                   7.86143017E+03           1.65396047E-03          12.8746834E+03 
                   7.87001991E+03           1.67544043E-03          12.8814697E+03 
                   7.87860966E+03           1.69692051E-03          12.8870897E+03 
                   7.88720036E+03           1.71840048E-03          12.8911495E+03 
                   7.8957901E+03            1.73987937E-03          12.8929586E+03 
                   7.90437984E+03           1.76135945E-03          12.8888464E+03 
                   7.91296959E+03           1.78283942E-03          11.6444349E+03 
                   7.92156029E+03           1.8043195E-03           11.7479086E+03 
                   7.93015003E+03           1.82579947E-03          11.8443251E+03 
                   7.93874025E+03           1.84727955E-03          11.9172993E+03 
                   7.94733E+03              1.86875951E-03          11.952836E+03  
                   7.95591974E+03           1.8902396E-03           11.9640713E+03 
                   7.96450996E+03           1.91171956E-03          11.9459257E+03 
                   7.97310019E+03           1.93319964E-03          11.8993006E+03 
                   7.98168993E+03           1.95467937E-03          11.8191738E+03 
                   7.99028015E+03           1.97615945E-03          11.7050638E+03 
                   7.9988699E+03            1.99763942E-03          11.5542374E+03 
                   8.00745964E+03           2.0191195E-03           11.3619661E+03 
                   8.01604939E+03           2.04059958E-03          11.1279945E+03 
                   8.02464008E+03           2.06207943E-03          10.84303E+03   
                   8.03322983E+03           2.08355951E-03          10.5082626E+03 
                   8.04181957E+03           2.1050396E-03           10.1212044E+03 
                   8.05041027E+03           2.12651968E-03           9.66419697E+03
                   8.05900002E+03           2.14799953E-03           9.15786552E+03




